post date	where it was posted?	title	link
2026-06-10		Levantamentos de organismos bioluminescentes geram propostas turísticas	https://revistapesquisa.fapesp.br/levantamentos-de-organismos-bioluminescentes-geram-propostas-turisticas/
2026-06-02		“Glowy” fungi illuminate the path to understanding bioluminescence	https://network.febs.org/posts/glowy-fungi-light-the-path-to-understanding-bioluminescence
2025-08-07		Organismo marinho tem fotoproteína verde desconhecida	https://revistapesquisa.fapesp.br/organismo-marinho-tem-fotoproteina-verde-desconhecida/
2024-10-31		Why do some mushrooms glow?	https://www.bbc.com/audio/play/w3ct5rhz
2024-08-12T03:00:00Z		What a bioluminescent petunia had to teach me	https://knowablemagazine.org/content/article/society/2024/how-does-bioluminescent-petunia-glow-science
2023-12-19T03:00:00Z		Menor cogumelo bioluminescente do mundo é encontrado no Parque Estadual Caverna do Diabo| Terra da Gente	https://g1.globo.com/sp/campinas-regiao/terra-da-gente/noticia/2023/12/19/menor-cogumelo-bioluminescente-do-mundo-e-encontrado-no-parque-estadual-caverna-do-diabo.ghtml
2023-12-05T03:00:00Z		Brilho diabólico - Fotolab | Pesquisa FAPESP	https://revistapesquisa.fapesp.br/brilho-diabolico/
2023-04-29T13:32:27.138Z		Antonina do pôr do sol ao amanhecer – Parte 1	https://globoplay.globo.com/v/11573536/
2023-03-02T03:00:00Z		Want to see glow-in-the-dark mushrooms? Visit Brazil’s other rain forest	https://www.nationalgeographic.com/travel/article/brazil-rain-forest-most-glowing-mushrooms
2022-08-28T00:17:36.581Z		Hiperconectado | Bioluminescência	https://www.youtube.com/watch?v=i_2D0x8Kilg
2022-06-23T03:00:00Z		Bioluminescência pode ser alternativa sustentável para iluminar ambientes urbanos	https://jornal.usp.br/atualidades/bioluminescencia-pode-ser-alternativa-sustentavel-para-iluminar-ambientes-urbanos/
2021-05-25T03:00:00Z		Terra da Gente: Estado de SP tem maior concentração de cogumelos bioluminescentes do mundo	https://globoplay.globo.com/v/9544029/
2021-04-18T00:32:10.281Z		Pesquisador responde perguntas sobre os cogumelos brilhantes	https://globoplay.globo.com/v/9444191/
2019-11-01T14:06:00Z		First Bioluminescent Insect That Glows Blue In South America Discovered	https://www.iflscience.com/first-bioluminescent-insect-that-glows-blue-in-south-america-discovered-54117
2019-09-30T15:38:00Z		Inseto sul-americano que emite luz azul é descoberto por brasileiros	https://revistagalileu.globo.com/Ciencia/Biologia/noticia/2019/09/inseto-sul-americano-que-emite-luz-azul-e-descoberto-por-brasileiros.html
2019-09-18T12:00:00Z		Descoberto o primeiro inseto sul-americano que emite luz azul	https://www.estadao.com.br/ciencia/descoberto-o-primeiro-inseto-sul-americano-que-emite-luz-azul/
2019-09-13T00:53:24.458Z		O mosquito brilhante do Vale do Ribeira	https://revistapesquisa.fapesp.br/o-mosquito-brilhante-do-vale-do-ribeira/
2019-08-12T21:04:05.679Z		Larva brilhante e raríssima é descoberta por cientistas em SP	https://g1.globo.com/sp/santos-regiao/noticia/2019/08/12/larva-brilhante-e-rarissima-e-descoberta-por-cientistas-em-sp.ghtml
2019-05-13T16:03:00Z		Pesquisadores descobrem sistema bioluminescente codificável	http://aun.webhostusp.sti.usp.br/index.php/2019/05/13/pesquisadores-descobrem-sistema-bioluminescente-codificavel/
2018-12-05T15:54:00Z		Brilho construído	https://revistapesquisa.fapesp.br/brilho-construido/
2018-11-28T13:42:00Z		Scientists discovered a set of enzymes to create glowing organisms	http://www.sciencedaily.com/releases/2018/11/181128114950.htm
2018-02-20		Dazzling Bioluminescent Life Forever Stamps Come to Light Today 	https://about.usps.com/news/national-releases/2018/pr18_013.htm
2017-06-12T19:30:46.603Z		Como fungos usam química para brilhar no escuro da mata	https://www.youtube.com/watch?v=Ril7v3BP1dM&t=3s
2017-05-12T19:14:44.751Z		Mecanismo da bioluminescência de fungos	https://revistapesquisa.fapesp.br/podcast-cassius-stevani/?cat=entrevistas/
2017-05-08T19:50:23.369Z		Processo químico da bioluminescência de fungos é reciclável e flexível	https://jornal.usp.br/ciencias/ciencias-biologicas/processo-quimico-da-bioluminescencia-de-fungos-e-reciclavel-e-flexivel/
2017-05-02T19:44:00Z		Lumière sur les champignons brillants	https://www.lemonde.fr/sciences/article/2017/05/02/lumiere-sur-les-champignons-brillants_5120999_1650684.html
2017-05-02T19:18:00Z		Glowing mushroom” discovery could revolutionize biology	https://futurism.com/glowing-mushroom-discovery-could-revolutionize-biology
2017-04-29T19:38:00Z		Was Pilze im Dunkeln leuchten lässt	https://www.n-tv.de/wissen/Was-Pilze-im-Dunkeln-leuchten-laesst-article19814203.html
2017-04-27T19:35:00Z		How a mushroom gets its glow	https://www.sciencenews.org/blog/science-ticker/how-mushroom-gets-its-glow
2017-04-27T03:15:00Z		Hunting mushrooms, and what makes some glow in the dark	https://www.nytimes.com/2017/04/27/science/glow-in-the-dark-mushrooms-bioluminescence.html?_r=0
2017-04-26T19:58:00Z		Come fanno i funghi a brillare al buio	https://www.focus.it/ambiente/natura/come-fanno-i-funghi-a-brillare-al-buio
2017-04-26T19:54:00Z		Illuminating the secret of glow-in-the-dark mushrooms Mechanism and color modulation of fungal biolu	http://www.sciencedaily.com/releases/2017/04/170426142022.htm
2017-04-26T19:32:00Z		Cientistas iluminam segredo dos cogumelos que brilham no escuro	https://www1.folha.uol.com.br/paywall/login.shtml?https://www1.folha.uol.com.br/ciencia/2017/04/1878832-cientistas-iluminam-segredo-do-cogumelo-que-brilha-no-escuro.shtml
2017-04-26T03:29:00Z		Here's the secret of glow-in-the-dark mushrooms not so magical after all	https://www.inverse.com/article/30791-bioluminescent-fungus-fungi-luciferin
2017-04-26T03:22:00Z		Iluminação natural	https://revistapesquisa.fapesp.br/iluminacao-natural/
2016-11-26T17:45:00Z		Quiz on bioluminescent creatures	https://www.youtube.com/watch?v=p0__FOEf5W4&t=1s
2016-08-09T11:00:00Z		Bioluminescence: The greatest light show of them all	https://www.ledvance.com/en-mea/professional-lighting/lighting-insights/fascination-light/bioluminescence
2016-07-03T03:07:00Z		How research into glowing fungi could lead to trees lighting our streets	https://www.theguardian.com/science/2016/jul/03/fungi-glow-dark-luminscent-mushrooms-conservation-enviroment-bioscience
2016-04-08T20:07:00Z		Circadian control sheds light on fungal bioluminescence	https://archive.connect.h1.co/article/725402150/
2015-10-12T20:01:00Z		Luzes vivas da noite	https://cienciahoje.org.br/artigo/luzes-vivas-da-noite/
2015-05-21T20:39:00Z		Pesquisadores brasileiros desvendam como o cogumelo flor de coco se ilumina	https://www.correiobraziliense.com.br/app/noticia/ciencia-e-saude/2015/03/21/interna_ciencia_saude,476395/pesquisadores-brasileiros-desvendam-como-o-cogumelo-flor-de-coco-se-ilumina.shtml
2015-03-26T20:11:00Z		Cientistas descobrem que fungo que brilha no escuro tem relógio biológico	https://g1.globo.com/natureza/noticia/2015/03/cientistas-descobrem-que-fungo-que-brilha-no-escuro-tem-relogio-biologico.html
2015-03-25T20:16:00Z		Cogumelo do Brasil brilha à noite e os insectos vão até lá	https://www.publico.pt/2015/03/20/ciencia/noticia/cogumelo-do-brasil-brilha-a-noite-e-os-insectos-vao-ate-la-1689729
2015-03-25T20:13:00Z		Licht unterstützt die Ausbreitung	https://www.nzz.ch/wissenschaft/biologie/licht-unterstuetzt-die-ausbreitung-ld.771765
2015-03-23T20:35:00Z		Why some mushrooms glow in the dark	https://www.npr.org/2015/03/21/394089178/why-some-mushrooms-glow-in-the-dark
2015-03-23T20:18:00Z		Mushrooms that glow to continue the species	https://www.nytimes.com/2015/03/24/science/mushrooms-that-glow-to-continue-the-species.html?_r=0&referrer=
2015-03-20T23:06:00Z		Why some mushrooms glow in the dark	https://www.newsweek.com/why-some-mushrooms-glow-dark-315194
2015-03-20T23:00:00Z		Glowing mushrooms	https://www.scienceupdate.com/2015/03/glowing-mushrooms/
2015-03-20T20:41:00Z		Leuchtpilze locken Insekten an	https://www.focus.de/wissen/natur/wissenschaft-gruenliche-strahlen-leuchtpilze-locken-insekten-an_id_4557411.html
2015-03-19T23:23:00Z		Ritmo biológico controla brilho de cogumelos	https://revistapesquisa.fapesp.br/ritmo-biologico-controla-brilho-de-cogumelos/
2015-03-19T23:20:00Z		Glowing mushroom attracts insects	http://www.sciencemag.org/news/2015/03/glowing-mushroom-attracts-insects?rss=1
